Bandit,Reward,Algorithm
3,3.110011267863313,EpsilonGreedy
3,2.989941706338359,EpsilonGreedy
3,3.0729832034419573,EpsilonGreedy
3,3.3220205041113844,EpsilonGreedy
3,2.727755253709984,EpsilonGreedy
3,3.2744818986340474,EpsilonGreedy
3,3.9514990074258742,EpsilonGreedy
3,2.0756645467654016,EpsilonGreedy
3,5.222960142701362,EpsilonGreedy
3,3.5847120716780703,EpsilonGreedy
3,5.081912917827876,EpsilonGreedy
3,3.970287361202651,EpsilonGreedy
3,4.1299294054602225,EpsilonGreedy
3,4.0054029762462635,EpsilonGreedy
3,3.4736970127611304,EpsilonGreedy
3,3.9248952932133827,EpsilonGreedy
3,3.0115041363657964,EpsilonGreedy
3,3.3663260561856605,EpsilonGreedy
3,4.5047350016231995,EpsilonGreedy
3,2.088221564417539,EpsilonGreedy
3,5.380665487880433,EpsilonGreedy
3,5.363762109531548,EpsilonGreedy
3,4.4491863948407335,EpsilonGreedy
3,2.8269644121984303,EpsilonGreedy
3,2.573515286477933,EpsilonGreedy
3,3.3560589146004545,EpsilonGreedy
3,2.016436952997287,EpsilonGreedy
3,4.536782643554033,EpsilonGreedy
3,4.481276702872935,EpsilonGreedy
3,3.600620437458757,EpsilonGreedy
3,4.82299320486337,EpsilonGreedy
3,3.564718540531575,EpsilonGreedy
3,4.320669412086821,EpsilonGreedy
3,3.5456571817443723,EpsilonGreedy
3,3.92870063903055,EpsilonGreedy
3,3.42044040322173,EpsilonGreedy
3,5.1916581490766704,EpsilonGreedy
3,3.096535186486729,EpsilonGreedy
3,3.0282527611085928,EpsilonGreedy
3,3.6545527279426686,EpsilonGreedy
3,2.4717784862889047,EpsilonGreedy
3,4.109771483323979,EpsilonGreedy
3,3.194803569405634,EpsilonGreedy
3,1.377995027585437,EpsilonGreedy
3,2.276281798296464,EpsilonGreedy
3,4.474178609012475,EpsilonGreedy
3,4.54006288921094,EpsilonGreedy
3,3.8951419228959776,EpsilonGreedy
3,5.027616103476106,EpsilonGreedy
3,4.199989329310718,EpsilonGreedy
